paidwork,lwage,men,malay,chinese,indian,age,agesq,gexpr,gexprsq,yprim,ysec,fail,urban,unearn,househ,amtland,unearnx
0,0,0,0,0,1,24,5.7600002,10,1,6,2,0,1,0,0,0,1
1,1.7879059,0,1,0,0,40,16,20,4,6,8,0,1,0,0,.2,0
0,0,0,1,0,0,35,12.25,23,5.29,6,0,0,1,0,0,.30000001,0
0,0,0,0,1,0,40,16,24,5.7600002,6,4,0,1,0,.5,0,1
0,0,0,0,1,0,29,8.4099998,12,1.4400001,6,5,1,1,0,.5,0,1
1,.55576223,0,0,1,0,25,6.25,13,1.6900001,6,0,0,1,0,.5,0,1
0,0,0,0,1,0,59,34.810001,53,28.09,0,0,0,1,0,.5,0,1
1,.92073596,0,1,0,0,25,6.25,8,.63999999,6,5,0,1,0,.5,0,1
1,.35905191,0,0,1,0,20,4,5,.25,6,3,1,1,0,.5,0,1
1,.28836367,0,0,0,1,29,8.4099998,14,1.96,6,3,0,1,0,.5,0,0
0,0,0,0,0,1,56,31.360001,48,23.040001,2,0,0,1,0,.5,0,0
1,.27698696,0,0,0,1,26,6.7600002,9,.81,6,5,0,1,0,.5,0,0
0,0,0,0,0,1,25,6.25,8,.63999999,6,5,0,1,0,.5,0,0
0,0,0,0,0,1,25,6.25,10,1,6,3,0,1,0,.5,0,0
1,.64115322,0,0,1,0,21,4.4099998,6,.36000001,6,3,1,1,0,.5,0,0
0,0,0,0,1,0,57,32.490002,51,26.01,0,0,0,1,0,.5,0,0
1,.63580495,0,0,1,0,33,10.89,22,4.8400002,5,0,0,1,0,.5,0,1
0,0,0,0,1,0,58,33.639999,52,27.040001,0,0,0,1,0,.5,0,1
1,.87161517,0,0,1,0,35,12.25,20,4,6,3,1,1,.0018,.5,0,0
1,.34836704,0,0,1,0,19,3.6099999,7,.49000001,6,0,0,1,0,.5,0,1
1,.33261865,0,0,1,0,47,22.09,38,14.44,3,0,0,1,0,.5,0,1
0,0,0,0,1,0,16,2.5599999,2,.039999999,6,2,0,1,0,.5,0,1
0,0,0,0,1,0,31,9.6099997,25,6.25,0,0,0,1,0,.5,0,1
0,0,0,0,1,0,29,8.4099998,23,5.29,0,0,0,1,0,.5,0,1
0,0,0,0,1,0,31,9.6099997,25,6.25,0,0,0,1,0,.5,0,1
1,.10150695,0,0,1,0,37,13.69,25,6.25,6,0,0,1,0,.5,0,1
0,0,0,0,0,1,30,9,18,3.24,6,0,0,1,0,0,0,1
0,0,0,0,1,0,57,32.490002,48,23.040001,3,0,0,1,0,0,0,0
0,0,0,0,1,0,43,18.49,34,11.56,3,0,0,1,0,0,0,0
0,0,0,0,1,0,17,2.8900001,2,.039999999,6,3,0,1,0,0,0,0
1,.68929362,0,1,0,0,29,8.4099998,10,1,6,7,0,1,0,0,0,0
0,0,0,0,1,0,20,4,3,.090000004,6,5,0,1,1.2,.44999999,0,0
0,0,0,0,1,0,39,15.21,33,10.89,0,0,0,1,1.2,.44999999,0,0
1,1.2235916,0,0,0,1,26,6.7600002,9,.81,6,5,0,1,0,.44999999,0,1
0,0,0,0,0,1,59,34.810001,47,22.09,6,0,0,1,0,.44999999,0,1
1,-.51467919,0,1,0,0,46,21.16,31,9.6099997,6,3,0,1,.059999999,0,5,0
0,0,0,0,1,0,30,9,18,3.24,6,0,0,1,0,.44999999,0,1
1,.2838285,0,0,1,0,57,32.490002,51,26.01,0,0,0,1,0,.44999999,0,1
0,0,0,0,1,0,25,6.25,9,.81,6,4,0,1,0,.44999999,0,1
0,0,0,0,1,0,24,5.7600002,7,.49000001,6,5,0,1,0,.44999999,0,1
0,0,0,0,1,0,34,11.56,22,4.8400002,6,0,0,1,0,.44999999,0,1
